id,client_id,website_id,event_type,timestamp,data
3031,175327444120298483,stirka_com_fr,session_start,2025-07-23 15:40:40.595+03,"{""page_url"": ""https://stirka.com/fr?profit=450000&utm_source=yandex_kb&utm_medium=context_mobile&utm_campaign=FR_102583602_RSYA_stirka_fr_test_profit&utm_content=15499569449_com.avito.android&utm_term=---autotargeting_Yezdochnoye_profit450000&yclid=16364565575579467775"", ""referrer"": """", ""utm_params"": {""gclid"": null, ""yclid"": ""16364565575579467775"", ""roistat"": null, ""utm_term"": ""---autotargeting_Yezdochnoye_profit450000"", ""utm_medium"": ""context_mobile"", ""utm_source"": ""yandex_kb"", ""utm_content"": ""15499569449_com.avito.android"", ""utm_campaign"": ""FR_102583602_RSYA_stirka_fr_test_profit""}, ""device_info"": {""language"": ""ru-RU"", ""user_agent"": ""Mozilla/5.0 (Linux; arm_64; Android 13; TECNO LH6n) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.5993.652 YaSearchBrowser/23.111.1 BroPP/1.0 YaSearchApp/23.111.1 webOmni SA/3 Mobile Safari/537.36"", ""orientation"": ""portrait-primary"", ""pixel_ratio"": 2, ""screen_width"": 360, ""screen_height"": 820}}"
3032,175327444120298483,stirka_com_fr,session_end,2025-07-23 15:40:46.473+03,"{""activity_summary"": {""click_count"": 0, ""rage_clicks"": 0, ""tab_switches"": 0, ""idle_time_sec"": ""0.00"", ""keypress_count"": 0, ""mousemove_count"": 0, ""avg_click_per_sec"": ""0.00"", ""avg_keypress_per_sec"": ""0.00"", ""avg_mousemove_per_sec"": ""0.00""}, ""max_scroll_depth"": 0, ""session_duration"": ""5.88""}"
3033,1753274648207779181,stirka_com_fr,session_start,2025-07-23 15:44:08.497+03,"{""page_url"": ""https://stirka.com/fr?utm_source=yandex_kb&utm_medium=context_mobile&utm_campaign=FR_98764487_RSYA_stirka_fr_za_kliki&utm_content=15220468860_ru.avito.app&utm_term=---autotargeting_Himki&yclid=1665515247229468671"", ""referrer"": """", ""utm_params"": {""gclid"": null, ""yclid"": ""1665515247229468671"", ""roistat"": null, ""utm_term"": ""---autotargeting_Himki"", ""utm_medium"": ""context_mobile"", ""utm_source"": ""yandex_kb"", ""utm_content"": ""15220468860_ru.avito.app"", ""utm_campaign"": ""FR_98764487_RSYA_stirka_fr_za_kliki""}, ""device_info"": {""language"": ""ru"", ""user_agent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1"", ""orientation"": ""portrait-primary"", ""pixel_ratio"": 3, ""screen_width"": 430, ""screen_height"": 932}}"
3034,1753122772383830849,stirka_com_fr,session_start,2025-07-23 15:47:12.633+03,"{""page_url"": ""https://stirka.com/fr?profit=350000&utm_source=yandex_kb&utm_medium=context_mobile&utm_campaign=FR_102583602_RSYA_stirka_fr_test_profit&utm_content=15499569437_com.avito.android&utm_term=---autotargeting_Uspenskoye%20rural%20settlement_profit350000&yclid=10785562213669404671"", ""referrer"": """", ""utm_params"": {""gclid"": null, ""yclid"": ""10785562213669404671"", ""roistat"": null, ""utm_term"": ""---autotargeting_Uspenskoye rural settlement_profit350000"", ""utm_medium"": ""context_mobile"", ""utm_source"": ""yandex_kb"", ""utm_content"": ""15499569437_com.avito.android"", ""utm_campaign"": ""FR_102583602_RSYA_stirka_fr_test_profit""}, ""device_info"": {""language"": ""ru-RU"", ""user_agent"": ""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36"", ""orientation"": ""portrait-primary"", ""pixel_ratio"": 1.875, ""screen_width"": 384, ""screen_height"": 686}}"
3035,1753275035513151037,stirka_com_fr,session_start,2025-07-23 15:50:35.367+03,"{""page_url"": ""https://stirka.com/fr?utm_source=yandex_kb&utm_medium=context_mobile&utm_campaign=FR_98764487_RSYA_stirka_fr_za_kliki&utm_content=15220468860_ru.avito.app&utm_term=---autotargeting_Moscow&yclid=5436609979952136191"", ""referrer"": """", ""utm_params"": {""gclid"": null, ""yclid"": ""5436609979952136191"", ""roistat"": null, ""utm_term"": ""---autotargeting_Moscow"", ""utm_medium"": ""context_mobile"", ""utm_source"": ""yandex_kb"", ""utm_content"": ""15220468860_ru.avito.app"", ""utm_campaign"": ""FR_98764487_RSYA_stirka_fr_za_kliki""}, ""device_info"": {""language"": ""zh-CN"", ""user_agent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1"", ""orientation"": ""portrait-primary"", ""pixel_ratio"": 3, ""screen_width"": 320, ""screen_height"": 693}}"
3036,1753244136876692775,stirka_com_fr,session_start,2025-07-23 15:51:23.998+03,"{""page_url"": ""https://stirka.com/fr?utm_source=yandex_kb&utm_medium=context_mobile&utm_campaign=FR_98764487_RSYA_stirka_fr_za_kliki&utm_content=15220468860_ru.avito.app&utm_term=---autotargeting_Moscow&yclid=4149108166998097919"", ""referrer"": """", ""utm_params"": {""gclid"": null, ""yclid"": ""4149108166998097919"", ""roistat"": null, ""utm_term"": ""---autotargeting_Moscow"", ""utm_medium"": ""context_mobile"", ""utm_source"": ""yandex_kb"", ""utm_content"": ""15220468860_ru.avito.app"", ""utm_campaign"": ""FR_98764487_RSYA_stirka_fr_za_kliki""}, ""device_info"": {""language"": ""ru"", ""user_agent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/138.0.7204.156 Mobile/15E148 Safari/604.1"", ""orientation"": ""portrait-primary"", ""pixel_ratio"": 3, ""screen_width"": 390, ""screen_height"": 844}}"
3037,1753275521189121369,stirka_com_fr,session_start,2025-07-23 15:58:41.717+03,"{""page_url"": ""https://stirka.com/fr?utm_source=yandex_kb&utm_medium=context_tablet&utm_campaign=FR_98764487_RSYA_stirka_fr_za_kliki&utm_content=15220468867_com.avito.android&utm_term=---autotargeting_Zvenigovo&yclid=8013122335095914495"", ""referrer"": """", ""utm_params"": {""gclid"": null, ""yclid"": ""8013122335095914495"", ""roistat"": null, ""utm_term"": ""---autotargeting_Zvenigovo"", ""utm_medium"": ""context_tablet"", ""utm_source"": ""yandex_kb"", ""utm_content"": ""15220468867_com.avito.android"", ""utm_campaign"": ""FR_98764487_RSYA_stirka_fr_za_kliki""}, ""device_info"": {""language"": ""ru-RU"", ""user_agent"": ""Mozilla/5.0 (Linux; arm_64; Android 13; 21051182G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.7103.107 YaBrowser/25.6.4.107.01 Safari/537.36"", ""orientation"": ""portrait-primary"", ""pixel_ratio"": 2.25, ""screen_width"": 712, ""screen_height"": 1138}}"
3038,1753275523514428308,stirka_com_fr,session_start,2025-07-23 15:58:43.202+03,"{""page_url"": ""https://stirka.com/fr?profit=450000&utm_source=yandex_kb&utm_medium=context_mobile&utm_campaign=FR_102583602_RSYA_stirka_fr_test_profit&utm_content=15499569449_ru.avito.app&utm_term=---autotargeting_Sochi_profit450000&yclid=13751263466403135487"", ""referrer"": """", ""utm_params"": {""gclid"": null, ""yclid"": ""13751263466403135487"", ""roistat"": null, ""utm_term"": ""---autotargeting_Sochi_profit450000"", ""utm_medium"": ""context_mobile"", ""utm_source"": ""yandex_kb"", ""utm_content"": ""15499569449_ru.avito.app"", ""utm_campaign"": ""FR_102583602_RSYA_stirka_fr_test_profit""}, ""device_info"": {""language"": ""ru"", ""user_agent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1"", ""orientation"": ""portrait-primary"", ""pixel_ratio"": 3, ""screen_width"": 393, ""screen_height"": 852}}"
3039,1753275521189121369,stirka_com_fr,scroll_depth,2025-07-23 15:59:03.016+03,"{""time_on_page"": ""21.30"", ""scroll_percent"": 25}"
3040,1753275523514428308,stirka_com_fr,scroll_depth,2025-07-23 15:59:06.688+03,"{""time_on_page"": ""23.49"", ""scroll_percent"": 25}"
